group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,TP53RK,7.4156017,1.3233886,1.2107389283187666e-13,2.0824368193324803e-12,0.43462897526501765,0.11244239631336406
1,ATP11A,7.4143343,1.9674568,1.2223707594721787e-13,2.1014557147694324e-12,0.36395759717314485,0.06267281105990784
1,SRD5A3,7.407576,1.0228335,1.286286608998323e-13,2.2082258994346913e-12,0.5618374558303887,0.20829493087557605
1,DPH3,7.407576,1.2234752,1.286286608998323e-13,2.2082258994346913e-12,0.4734982332155477,0.1447004608294931
1,AAAS,7.4050417,1.3394628,1.311092300699785e-13,2.2487014666313418e-12,0.4558303886925795,0.13548387096774195
1,SKA3,7.4006486,2.0440333,1.3552070959301674e-13,2.3221879643323996e-12,0.36395759717314485,0.06451612903225806
1,AURKA,7.394566,4.344282,1.418705673819713e-13,2.424185171217335e-12,0.3003533568904594,0.013824884792626729
1,RCCD1,7.3801203,1.7411051,1.5814655733271275e-13,2.6922428581091253e-12,0.38162544169611307,0.07649769585253456
1,MTHFR,7.3729396,2.2752962,1.669061661255492e-13,2.8387233207998266e-12,0.34275618374558303,0.04608294930875576
1,AGPAT3,7.368124,1.3822311,1.7304549072409658e-13,2.937679965673775e-12,0.4204946996466431,0.10414746543778802
1,DYNC1LI1,7.3635626,1.0350001,1.790661014751641e-13,3.0342585093020745e-12,0.5512367491166078,0.20092165898617512
1,PIEZO1,7.36314,1.3420516,1.7963386539258873e-13,3.0424706650782695e-12,0.44876325088339225,0.13087557603686636
1,BYSL,7.351989,2.2785802,1.9527936165705296e-13,3.3028742680267076e-12,0.3498233215547703,0.055299539170506916
1,UAP1,7.3518195,1.3101306,1.9552642310649135e-13,3.3055254559448915e-12,0.4628975265017668,0.1391705069124424
1,WEE1,7.3470044,2.4668198,2.0269821786376119e-13,3.42518812189821e-12,0.3392226148409894,0.04608294930875576
1,C5orf30,7.327236,1.433532,2.3494751581977483e-13,3.960992181722515e-12,0.4169611307420495,0.10138248847926268
1,RAE1,7.321914,1.2261387,2.4445879912891724e-13,4.1175501642510356e-12,0.46996466431095407,0.14654377880184333
1,DDX55,7.321576,1.4804221,2.4507529820122267e-13,4.126035413736408e-12,0.4169611307420495,0.10506912442396313
1,MCAT,7.318281,1.3969688,2.51166767053512e-13,4.2247035114547765e-12,0.4381625441696113,0.12165898617511521
1,GNG2,7.3087354,1.9807867,2.6966855612081404e-13,4.529664443587845e-12,0.3568904593639576,0.059907834101382486
1,BRCA1,7.305187,1.5401514,2.7688122217645293e-13,4.6486833086607125e-12,0.40636042402826855,0.10046082949308756
1,KMT5A,7.299949,2.333603,2.8787605109343727e-13,4.828850296091154e-12,0.3392226148409894,0.047004608294930875
1,CHMP1A,7.2997804,1.1747012,2.882377713219388e-13,4.832703008774293e-12,0.4734982332155477,0.1447004608294931
1,SGMS1,7.2996116,1.2350075,2.885999379576995e-13,4.8365596745374355e-12,0.45936395759717313,0.13640552995391705
1,CEP192,7.288291,1.1661319,3.139109040459086e-13,5.246325570312466e-12,0.4664310954063604,0.14285714285714285
1,POLR1A,7.2837296,1.0308397,3.247162244409011e-13,5.4219610085590416e-12,0.5123674911660777,0.17695852534562212
1,NUDT19,7.2777314,1.8134667,3.3948068812437195e-13,5.660743811407807e-12,0.3745583038869258,0.07557603686635944
1,LRRC47,7.27469,1.1507448,3.4721680938471613e-13,5.787104936379779e-12,0.4876325088339223,0.15668202764976957
