group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
1,DPH2,4.092421,1.1882986,4.268922288901982e-05,0.0016141200898357588,0.5681818181818182,0.2425531914893617
1,TP53RK,4.091083,1.1492717,4.2936343950444566e-05,0.0016217885706194238,0.5113636363636364,0.19148936170212766
1,KATNA1,4.087068,1.2635527,4.368587530419204e-05,0.0016450069156468447,0.5,0.17446808510638298
1,B3GALNT2,4.066325,1.2306168,4.776030990352965e-05,0.0017783063100499377,0.48863636363636365,0.17872340425531916
1,TIMM21,4.0643177,1.3788391,4.817318444949992e-05,0.0017918564268660025,0.4659090909090909,0.14893617021276595
1,PMP22,4.0562882,1.2657952,4.9858766765872505e-05,0.0018395975024170358,0.5113636363636364,0.2
1,FANCA,4.0542808,1.1559291,5.0288814859381106e-05,0.001851731300471034,0.5340909090909091,0.2127659574468085
1,EPCAM,4.0415673,1.3533891,5.309518305916954e-05,0.0019433367951486643,0.4772727272727273,0.16170212765957448
1,SLC1A5,4.0382214,1.2572765,5.3858001402073964e-05,0.001965360627435004,0.48863636363636365,0.16170212765957448
1,CTSZ,4.0368834,1.7874936,5.4166026647157045e-05,0.001972667404291139,0.3977272727272727,0.09361702127659574
1,MORN2,4.014802,1.0233136,5.9495781050871716e-05,0.0021391012595706835,0.5454545454545454,0.20851063829787234
1,SSX2IP,4.014802,1.2786199,5.9495781050871716e-05,0.0021391012595706835,0.5,0.17446808510638298
1,RAD17,4.011456,1.2023715,6.0345402411241284e-05,0.002167519208688756,0.48863636363636365,0.1702127659574468
1,HBG2,4.001419,2.6215382,6.296372726177597e-05,0.0022571355352676422,0.4318181818181818,0.16170212765957448
1,MRFAP1L1,3.9947278,1.3277552,6.47686358700751e-05,0.002315035978008417,0.4659090909090909,0.14893617021276595
1,RHNO1,3.9826834,1.0802153,6.814152047571973e-05,0.002428478861666814,0.5454545454545454,0.2170212765957447
1,PREB,3.9800067,1.3600262,6.891329481341822e-05,0.0024512104018133336,0.48863636363636365,0.1829787234042553
1,FKBPL,3.9693007,2.2639647,7.208387834745237e-05,0.002551588038099714,0.36363636363636365,0.06808510638297872
1,TRAK2,3.9652858,1.0879345,7.330803707672302e-05,0.002587413177478437,0.5340909090909091,0.20851063829787234
1,TSR3,3.9592636,1.011683,7.518120028220247e-05,0.002645872222623935,0.5568181818181818,0.23829787234042554
1,ICMT,3.9318292,1.1323165,8.4301958824125e-05,0.002916385628470509,0.5227272727272727,0.2127659574468085
1,SLC25A21,3.8896737,1.9925096,0.0001003790712437559,0.003420832762190605,0.3977272727272727,0.11914893617021277
1,ATAD3B,3.8876665,1.544035,0.00010121261393428781,0.003446030588473366,0.42045454545454547,0.12340425531914893
1,HAUS6,3.8869972,1.3995535,0.00010149191036881239,0.003452328449264779,0.4431818181818182,0.15319148936170213
1,TGM2,3.8769603,1.755025,0.00010576963932625746,0.0035647095478640416,0.3977272727272727,0.10638297872340426
1,TRMU,3.8635776,1.0597235,0.00011173839432324106,0.0037451803760301704,0.5340909090909091,0.2170212765957447
1,NEO1,3.8595629,1.2859508,0.00011359008519508847,0.0038002840111749842,0.4431818181818182,0.14042553191489363
1,LHPP,3.8481874,1.5567932,0.00011899497324808536,0.0039522096332605915,0.42045454545454547,0.13617021276595745
1,FRAT2,3.840827,1.2710272,0.0001226205044506642,0.0040432730481069915,0.45454545454545453,0.15319148936170213
1,C17orf58,3.8381505,1.1576358,0.0001239645094678319,0.0040839109010190056,0.5,0.19148936170212766
1,SLC35A4,3.8368123,1.4337585,0.0001246417079265448,0.004102528014226139,0.45454545454545453,0.15319148936170213
1,MOSPD1,3.835474,1.897201,0.00012532239252465634,0.004117526830157044,0.3977272727272727,0.10638297872340426
1,SLC25A19,3.835474,1.2073971,0.00012532239252465634,0.004117526830157044,0.5,0.2
1,PRXL2B,3.831459,1.4929615,0.0001273855307319116,0.004174071450598654,0.4090909090909091,0.1148936170212766
1,CTTN,3.8267753,1.8908476,0.00012983297884789456,0.004239087295996243,0.3977272727272727,0.11914893617021277
1,MCM10,3.8200839,1.1004639,0.00013340630267705316,0.004336415705402151,0.5340909090909091,0.2297872340425532
1,TCTEX1D2,3.8167381,1.1140194,0.00013522752020862438,0.004372316667098817,0.5227272727272727,0.20851063829787234
1,NEDD4L,3.7926495,1.2340012,0.0001490485275176077,0.0047520253969267935,0.45454545454545453,0.14893617021276595
1,DHODH,3.7792668,1.2512422,0.0001572908733878795,0.0049801066235897725,0.45454545454545453,0.16170212765957448
1,SLC31A1,3.7792668,1.3091314,0.0001572908733878795,0.0049801066235897725,0.4659090909090909,0.17446808510638298
1,PMM1,3.7752519,1.3610476,0.0001598460384541759,0.0050479075525981815,0.45454545454545453,0.16595744680851063
