,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
TARS,False,False,433,0.33160022,74.98555748122473,574.0,False,0.30303227117874637,-0.07498811073919588,-1.2533717
AC034232.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
ADAMTS12,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
RXFP3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SLC45A2,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.007064926211473277,0.1651425458345449,-0.16861358
AMACR,False,False,66,0.03870595,96.18717504332756,67.0,False,0.03612366314698364,0.11224444415966532,-0.2498326
C1QTNF3,False,False,52,0.03119584,96.99595609474292,54.0,False,0.03550354041884376,0.3697943944482514,0.14560603
AC139792.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.005562832465513493,0.5887871751925473,0.4818445
AC138409.3,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0028807849878830613,-0.7641499869532415,-1.5954365
AC025754.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
RAI14,False,False,13,0.00808781,99.24898902368572,14.0,True,0.022290743837176864,1.44143549313087,1.7909889
AC025754.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC026801.2,False,False,28,0.01617562,98.38243789716927,28.0,False,0.011456710734034842,-0.05327504874869846,-0.50396895
TTC23L,False,False,7,0.004043905,99.59560947429232,7.0,False,0.001862187549067625,-0.5074198089176386,-1.2012565
RAD1,False,False,309,0.2345465,82.14904679376083,406.0,False,0.2480741429675343,-0.17932207720606358,-0.6974998
BRIX1,False,False,562,0.56325823,67.53321779318313,975.0,False,0.5804552166869641,0.1884671357718221,-0.70803624
DNAJC21,False,False,407,0.29867128,76.48757943385327,517.0,False,0.3120674569102511,0.5854758597191673,0.21324758
AGXT2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PRLR,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SPEF2,False,False,108,0.06932409,93.76083188908146,120.0,False,0.061750196118759135,0.5154172682021517,0.36919338
AC137810.1,False,False,10,0.006354708,99.42229924898902,11.0,False,0.00590050765769816,0.6478871103311139,0.57258576
IL7R,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.002077769302252323,-0.39776903955084963,-1.0329002
CAPSL,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC112204.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
UGT3A1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
UGT3A2,False,False,8,0.004621606,99.53783939919121,8.0,False,9.999999999995e-13,,
LMBRD2,False,False,69,0.041594453,96.01386481802426,72.0,False,0.06935673424008973,0.5055395053889491,0.3540272
SKP2,False,False,238,0.16348931,86.25072212593876,283.0,False,0.16200785386739375,-0.20507116301737127,-0.7370346
NADK2,False,False,236,0.16753322,86.36626227614096,290.0,False,0.1908770645894967,-0.25356794470802607,-0.8114959
NADK2-AS1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
RANBP3L,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC114277.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SLC1A3,False,False,12,0.006932409,99.30675909878683,12.0,True,0.02225620193349892,1.4941315572675227,1.8718978
AC008957.2,False,False,2,0.0011554015,99.8844598497978,2.0,False,9.999999999995e-13,,
AC008957.1,False,False,73,0.042172156,95.78278451761987,73.0,False,0.046540842040852924,0.24989371732124455,-0.03848781
AC026741.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0013610791194668375,-0.821144489775232,-1.6829451
NIPBL-DT,False,False,222,0.14153668,87.17504332755632,245.0,False,0.17233725005484207,0.8121702960355757,0.82482386
NIPBL,False,False,876,0.80531484,49.39341421143848,1394.0,False,0.7193057545466336,1.0337790128563573,0.91599435
CPLANE1,False,False,480,0.35990757,72.27036395147314,623.0,False,0.27863348068337096,0.8158404911637982,0.72479284
