,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
CNTD2,False,False,4,0.002310803,99.7689196995956,4.0,True,0.011850853068939904,1.348228204634326,1.6478798
AKT2,False,False,226,0.14038128,86.94396302715194,243.0,True,0.1629243492312876,1.1238995210751634,1.3034487
SERTAD1,False,False,119,0.0768342,93.12536106296938,133.0,True,0.15777437212760198,1.1811537810105568,1.391356
SERTAD3,False,False,47,0.03004044,97.28480647024841,52.0,True,0.07051376914557249,1.436610856810325,1.7835813
BLVRB,False,False,729,5.8388214,57.885615251299825,10107.0,True,2.2618825171954158,2.2331533413899662,1.4308997
CEACAM5,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.01554641749537333,1.6215105806010108,2.067474
CD79A,False,False,54,0.046793763,96.88041594454073,81.0,True,0.2585456636775457,2.880132413087115,3.9999444
ZNF574,False,False,107,0.06354708,93.81860196418256,110.0,True,0.10166082984653499,1.446267616523791,1.7984082
POU2F2,False,False,190,0.12940496,89.02368573079144,224.0,True,0.17316566808532605,1.4498243948106477,1.8038691
ZNF230,False,False,21,0.012131716,98.78682842287695,21.0,True,0.03237550839942422,1.0875332192328606,1.2476124
ZNF235,False,False,155,0.10398614,91.04563835932986,180.0,True,0.16424677910964575,1.266964670297039,1.5231088
APOE,False,False,259,0.5459272,85.03755054881572,945.0,True,0.5793735986656829,1.8349771925246259,2.4552727
RELB,False,False,695,0.6666667,59.84979780473715,1154.0,True,0.5157638792592155,1.3293555701364588,1.865099
FOSB,False,False,817,0.94396305,52.801848642403236,1634.0,True,0.7711569627537692,1.5097946743682358,1.8305254
GIPR,False,False,1,0.00057770073,99.94222992489891,1.0,True,0.009867793443734328,1.1641112950519275,1.3651892
QPCTL,False,False,117,0.0745234,93.24090121317158,129.0,True,0.09887863215105655,1.126011729256576,1.3066916
CCDC9,False,False,52,0.03119584,96.99595609474292,54.0,True,0.04365840968334131,1.0950361593564548,1.2591323
PLA2G4C,False,False,11,0.006354708,99.36452917388793,11.0,True,0.009489708572551313,1.1248535892371425,1.3049135
KCNJ14,False,False,87,0.05372617,94.97400346620451,93.0,True,0.09237312998447321,1.3194118197574793,1.6036355
LMTK3,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.013330925835252746,1.244714271971195,1.488946
NTN5,False,False,9,0.0051993066,99.48006932409012,9.0,True,0.03048951235943113,1.6139925921386653,2.0559309
TULP2,False,False,11,0.006354708,99.36452917388793,11.0,True,0.03105462235449154,1.3145782621446604,1.5962142
CD37,False,False,1261,2.0583477,27.151935297515884,3563.0,True,0.9989049281269538,1.9301618891657566,2.0999274
FLT3LG,False,False,55,0.03235124,96.82264586943963,56.0,True,0.03598995202637199,1.1923643192319147,1.4085685
ZNF473,False,False,139,0.08838821,91.96995956094743,153.0,True,0.09929620089755078,1.065269218372466,1.2134285
FAM71E1,False,False,13,0.00751011,99.24898902368572,13.0,True,0.011850853068939904,1.348228204634326,1.6478798
AC010325.2,False,False,4,0.002310803,99.7689196995956,4.0,True,0.013910251079896189,1.2160763556958856,1.4449756
IGLON5,False,False,15,0.008665511,99.13344887348353,15.0,True,0.016771577209730833,1.0532340580136783,1.1949499
SIGLEC5,False,False,22,0.012709416,98.72905834777586,22.0,True,0.00980528796659544,1.1577255328759584,1.3553846
AC010320.4,False,False,19,0.011554015,98.90236857307914,20.0,True,0.023264822832300573,1.374309190469814,1.6879241
MYADM,False,False,739,0.7099942,57.307914500288845,1229.0,True,0.5890059070303738,1.3188838526046998,1.4637436
PRKCG,False,False,12,0.00751011,99.30675909878683,13.0,True,0.022529258848213687,1.481822883323564,1.8529992
MBOAT7,False,False,750,0.7261698,56.672443674176776,1257.0,True,0.4253007404188196,1.1747583590273694,1.5218021
LAIR1,False,False,393,0.28942809,77.29636048526864,501.0,True,0.22680412959464694,1.2017457981458988,1.4229727
LENG8,False,False,170,0.10803004,90.1790872328134,187.0,True,0.17447598320619231,1.2078179946952712,1.4322959
AC010327.8,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.011850853068939904,1.348228204634326,1.6478798
ZNF805,False,False,41,0.025418833,97.631426920855,44.0,True,0.05417512181545199,1.8603538953110235,2.4341905
ZNF548,False,False,92,0.054881573,94.68515309069902,95.0,True,0.09111084052996118,1.3575290589217694,1.6621602
ZNF773,False,False,69,0.041594453,96.01386481802426,72.0,True,0.05473746504293704,1.079685574580986,1.2355632
ZNF154,False,False,43,0.024841132,97.5158867706528,43.0,True,0.026758491250575767,1.1663301346663353,1.368596
ZNF776,False,False,107,0.065280184,93.81860196418256,113.0,True,0.12666148485821468,1.3351817495647407,1.6278484
C19orf18,False,False,27,0.017331023,98.44020797227037,30.0,True,0.025374746585836935,1.3665517524260624,1.6760135
AC010642.2,False,False,305,0.20161757,82.38012709416522,349.0,True,0.23335013792458198,1.1962205952882945,1.4144894
MZF1,False,False,186,0.11900636,89.25476603119584,206.0,True,0.14906106504936578,2.0600648452847534,2.740824
OXT,False,False,79,0.049104564,95.43616406701328,85.0,True,0.029906370432330173,1.070158382925026,1.2209352
AVP,False,False,837,2.0930097,51.64644714038129,3623.0,True,0.8436546692573337,2.433215057297434,2.939408
AL133396.2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.01391797450847007,1.5100452017303365,1.8963314
AL096799.1,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.021327602747494265,1.2926316577485932,1.5625176
PLCB1,False,False,1057,1.6747545,38.9370306181398,2899.0,True,0.7401554598361518,1.6483688401349725,2.096757
PLCB4,False,False,491,0.41767764,71.63489312536106,723.0,True,0.40707276949935095,1.1122279671526065,1.3829477
