group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,NFATC3,-2.738324,-0.29063135,0.006175323593423136,0.06973866672103678,0.21505376344086022,0.48695652173913045
0,LARP1B,-2.7396398,-0.6593077,0.006150656964193641,0.06948154183532451,0.1827956989247312,0.4217391304347826
0,KIAA1841,-2.7402976,-1.3165036,0.006138356953138054,0.06936400211232044,0.043010752688172046,0.24782608695652175
0,MSL3,-2.7402976,-1.1697074,0.006138356953138054,0.06936400211232044,0.06451612903225806,0.27391304347826084
0,PPP1R12B,-2.7402976,-0.54886216,0.006138356953138054,0.06936400211232044,0.21505376344086022,0.47391304347826085
0,FNDC3B,-2.7409556,-0.41500545,0.006126079098243233,0.0692894379093945,0.22580645161290322,0.49130434782608695
0,SLC7A5,-2.7409556,-3.220765,0.006126079098243233,0.0692894379093945,0.021505376344086023,0.21739130434782608
0,BAG6,-2.7409556,-0.5169127,0.006126079098243233,0.0692894379093945,0.16129032258064516,0.4
0,SCYL1,-2.7422714,-0.6968632,0.006101589718559427,0.06909786054733713,0.0967741935483871,0.3130434782608696
0,THAP9-AS1,-2.744903,-1.4886096,0.006052875313397886,0.06856740617322069,0.03225806451612903,0.23478260869565218
0,APOOL,-2.746877,-1.1192118,0.006016569735857436,0.0681772349542161,0.06451612903225806,0.27391304347826084
0,OSBPL8,-2.747535,-0.44446543,0.006004511546418917,0.06806166835257937,0.3978494623655914,0.7565217391304347
0,TKFC,-2.747535,-1.5147644,0.006004511546418917,0.06806166835257937,0.03225806451612903,0.23478260869565218
0,FUT8,-2.7501667,-0.2781534,0.005956496226344563,0.06760115298618213,0.22580645161290322,0.4956521739130435
0,IL7,-2.7514825,-1.6073147,0.00593261855212503,0.06735104578980404,0.03225806451612903,0.23478260869565218
0,TMED4,-2.7527983,-0.43584153,0.005908827172875048,0.06712258949546854,0.1935483870967742,0.45217391304347826
0,DERA,-2.7527983,-0.86908925,0.005908827172875048,0.06712258949546854,0.12903225806451613,0.3565217391304348
0,TERF1,-2.7527983,-0.31525075,0.005908827172875048,0.06712258949546854,0.20430107526881722,0.46956521739130436
0,AC084864.2,-2.7534564,-26.480398,0.005896963759203343,0.06705025490854352,0.0,0.1956521739130435
0,ADAMTS3,-2.7534564,-26.591917,0.005896963759203343,0.06705025490854352,0.0,0.1956521739130435
0,C17orf99,-2.7534564,-26.531168,0.005896963759203343,0.06705025490854352,0.0,0.1956521739130435
0,FN3K,-2.7534564,-26.57415,0.005896963759203343,0.06705025490854352,0.0,0.1956521739130435
0,INTS13,-2.7541142,-1.3215046,0.005885121817766929,0.06699886272226668,0.0967741935483871,0.30869565217391304
0,PTAR1,-2.7541142,-0.5480342,0.005885121817766929,0.06699886272226668,0.13978494623655913,0.3826086956521739
0,C12orf73,-2.7547722,-1.1778547,0.005873301314818891,0.06690591391960356,0.08602150537634409,0.3
0,SPAST,-2.7574039,-2.6402824,0.005826233014460528,0.06639039681266183,0.021505376344086023,0.2217391304347826
0,ATG4B,-2.758062,-0.4812021,0.005814519199238595,0.06627755129596133,0.1827956989247312,0.4260869565217391
0,ACIN1,-2.758062,-0.36985224,0.005814519199238595,0.06627755129596133,0.2903225806451613,0.6043478260869565
0,PPIL2,-2.7593777,-1.4364653,0.005791155246042619,0.06605237555637454,0.053763440860215055,0.2608695652173913
0,PGM2,-2.7593777,-1.2325323,0.005791155246042619,0.06605237555637454,0.07526881720430108,0.28695652173913044
0,RTF1,-2.7593777,-0.531388,0.005791155246042619,0.06605237555637454,0.4946236559139785,0.8173913043478261
0,ARL16,-2.7620094,-0.4025503,0.005744681113529225,0.06558361616852251,0.22580645161290322,0.5
0,DLAT,-2.7626674,-1.9538717,0.005733115255636694,0.06547199733901986,0.043010752688172046,0.24782608695652175
0,PIK3R2,-2.765957,-1.8441161,0.0056756003582955775,0.06483540846253946,0.03225806451612903,0.23478260869565218
0,MFSD11,-2.766615,-0.73029536,0.005664160025760695,0.06472492073146026,0.12903225806451613,0.36086956521739133
0,DMAC2L,-2.7699046,-0.5262951,0.005607269785821574,0.06409484117141019,0.17204301075268819,0.41739130434782606
0,STX10,-2.7725365,-0.505196,0.0055621293339206835,0.06359871782281504,0.1935483870967742,0.4434782608695652
0,CCNC,-2.7731943,-0.31322786,0.0055508955792384065,0.06349010284240779,0.27956989247311825,0.5956521739130435
0,ZGPAT,-2.7738523,-0.65340114,0.005539682302757839,0.06338165425546723,0.10752688172043011,0.33043478260869563
